company_name,company_num,address
B-SAFE GAS SERVICES LIMITED,08462173,"
31 Windermere Road, Stowmarket, IP14 1LR            "
,,
TP BUSINESS SUPPORT SERVICES LTD,08462172,"
77 Tattenham Way, Tadworth, Surrey, KT20 5NE            "
,,
,,
,,
HUGH GRIFFITHS ASSOCIATES LTD,08462171,"
1 Dilston Mews, Dilston, Corbridge, Northumberland, England, NE45 5RL            "
,,
,,
CRQMS LIMITED,08462170,"
Aviation House Se2, Gloucestershire Airport, Cheltenham, GL51 6SP            "
,,
,,
SUSSEX SUZUKI LTD,08462169,"
1 The Glen, Worthing, England, BN13 2AD            "
,,
,,
IESCO LIMITED,08462168,"
Sir Robert Peel House, 178 Bishopsgate, London, United Kingdom, EC2M 4NJ            "
,,
BOPPL LIMITED,08462167,"
PO Box 501, The Nexus Building, Broadway, Letchworth Garden City, England, SG6 9BL            "
,,
"NATURAL VALUE INDUSTRIAL CO., LTD",08462166,"
9 Pantygraigwen Road, Pontypridd, Mid Glamorgan, United Kingdom, CF37 2RR            "
,,
,,
,,
LODESTAR FINANCE CONTRACTING LIMITED,08462165,"
Unit 4 Vista Place, Coy Pond Business Prk Ingworth Road, Poole, Dorset, BH12 1JY            "
BACCHUS M8 LIMITED,08462164,"
C/O Tmf Group 8th Floor, 20 Farringdon Street, London, United Kingdom, EC4A 4AB            "
,,
LRTS DRIVER TRAINING CIC,08462163,"
120 Poplar Avenue, Wigan, Greater Manchester, WN5 9NU            "
MANSFIELD PLAY FORUM,08462162,"
31 Hickling Court, Mansfield, Nottinghamshire, NG18 2NY            "
,,
LRC INSTRUMENTS LIMITED,08462160,"
21 Eden Way, Billingham, England, TS22 5NU            "
LELETI LIMITED,08462161,"
9-13 Fulham High Street, London, London, United Kingdom, SW6 3JH            "
,,
TDB FUSION GROUP LIMITED,08462159,"
88 Wood Street, London, EC2V 7QF            "
TESGL LIMITED,08462158,"
Ocean Court Caspian Road, Atlantic Street, Altrincham, Cheshire, WA14 5HH            "
,,
CASINO PROPERTY BROKERS LIMITED,08462157,"
Third Floor, 207 Regent Street, London, W1B 3HH            "
FRINGEBACKER CORPORATION LIMITED,08462156,"
145-157 St John Street, London, EC1V 4PW            "
ACTIO CONSULTING UK LIMITED,08462155,"
134a Finedon Road Irthlingborough, Wellingborough, Northamptonshire, England, NN9 5UB            "
,,
JEMMA ANDREW LTD,08462154,"
Flat 4 Meldreth, Coley Avenue, Woking, England, GU22 7BS            "
TM BUILDING SERVICES (UK) LIMITED,08462153,"
Unit 128 16 High Street, Ipswich, Suffolk, IP1 3JX            "
,,
,,
